,x,d1,d2,d3,d4,d5,w1,w2,w3,w4,w5,c1,c2,c3,c4,c5,c6,p,none_s,image_s,announce_s,image_sound_s,image_announce_s
710,711,7.4835,-0.3282,7.4069,4.51081,6.12721,29.78008,15.13336,9.88584,11.63726,8.38862,23,23,20,29,16,6,3,12.6667,7.2,29.0,7.3333,27.6667
711,712,7.6458,0.0891,7.7096,4.68389,4.38966,40.03341,23.52605,23.64322,24.7627,17.55639,23,28,14,12,7,8,4,22.2667,20.9333,23.8,22.8667,23.8
712,713,4.2506,0.7053,3.979,2.79831,4.05666,34.64269,20.41999,16.21173,19.66057,17.79312,20,25,29,23,17,11,4,18.2667,19.9333,24.0,17.0,19.8
713,714,9.3528,-0.4331,2.3433,4.66814,5.49744,24.21822,17.04578,13.48049,15.75049,10.31067,20,27,22,30,20,25,5,12.4,22.3333,24.2,23.3333,24.2
714,715,8.1796,-1.527,4.6769,4.15449,6.38072,21.71791,16.19313,14.81688,16.20476,10.24905,20,21,28,20,17,14,4,18.0,18.0,18.0,18.0,18.0
715,716,6.0051,1.3107,3.8127,2.09204,4.74638,42.59436,26.0323,24.27285,24.36484,17.49713,23,26,30,25,14,14,4,17.5333,18.7333,20.2,18.7333,20.9333
716,717,4.6532,-0.7572,3.1995,2.44315,3.1316,25.66798,16.84417,13.33322,17.22452,10.69049,19,28,25,21,16,14,5,11.0667,14.2,18.0,18.0,17.7333
717,718,4.5103,-0.8724,3.3626,2.81114,4.40001,24.89149,13.56237,14.13941,10.35651,10.53153,25,34,32,27,6,6,3,12.6667,24.7333,25.0,26.9333,27.1333
718,719,3.6652,1.6386,4.2788,2.89797,5.87735,29.018,17.54671,16.89237,16.86431,11.94161,21,31,23,17,15,14,3,10.4,20.0,22.7333,19.9333,27.1333
719,720,7.5,2.2791,7.6144,3.53047,7.60194,29.03583,18.13308,18.81705,16.29948,15.95811,19,13,26,25,19,19,5,18.0,21.2,19.6,19.6,19.6
720,721,4.1369,-1.6061,5.3634,2.58435,4.77577,21.0431,13.43797,11.79989,11.82332,8.96832,16,17,24,31,19,13,4,18.0,18.0,18.0,18.0,18.0
721,722,4.1552,2.8444,5.7231,3.998,7.1119,37.65044,22.25705,20.93585,22.21634,16.18212,19,20,22,20,16,10,4,11.8,26.2667,28.0,28.3333,24.9333
722,723,5.5023,-1.0123,7.7768,4.11105,4.76355,34.76557,23.72074,22.6416,23.98256,15.06841,21,27,32,15,15,11,3,14.8,26.8,29.0,25.2,28.6667
723,724,9.706,1.6349,4.7883,4.50888,8.2574,37.65592,25.98047,23.52544,20.75067,13.0753,29,37,34,22,12,5,4,18.0,21.2,21.7333,26.4667,26.4667
724,725,1.5122,-0.807,3.0972,2.74964,3.52187,34.37631,22.38484,17.62661,19.06826,13.10112,18,26,28,21,27,23,4,10.0667,22.4,24.6667,21.9333,23.8
725,726,5.7651,1.703,3.7934,4.52967,5.5605,27.19093,17.25105,13.57443,14.36083,10.60857,12,11,30,24,17,24,5,18.9333,21.8,23.9333,17.8667,27.1333
726,727,4.4823,-0.6081,6.4622,2.69422,4.01337,34.49165,23.28376,22.32084,21.39043,16.15559,15,13,10,19,13,17,3,18.0,21.6667,21.6667,19.9333,21.8
727,728,6.9968,-0.8935,1.759,2.78339,4.4068,26.08667,17.37516,10.54353,12.53373,11.578,20,24,23,23,26,16,5,13.1333,26.8,28.6667,17.3333,28.3333
728,729,10.0189,0.8535,4.0005,3.6779,5.81716,34.52409,26.30638,16.58396,23.58639,14.44615,19,34,27,14,13,12,5,14.8,27.2,29.0,26.5333,25.2
729,730,5.4763,-0.7582,3.2167,3.42315,5.39374,23.62417,16.22668,14.73979,15.46733,10.22582,18,23,20,26,24,9,5,14.8,21.6667,25.2667,23.7333,22.5333
730,731,7.2797,0.9775,4.7531,3.2152,3.8943,39.00785,26.40709,22.77781,22.63732,15.22943,20,12,24,20,14,17,4,14.8,23.2667,22.2667,23.9333,23.0
731,732,4.7634,2.6237,3.438,5.07505,6.06151,26.21791,19.88678,18.49471,17.729,14.78628,8,20,24,24,22,13,3,18.6667,18.6667,19.2,18.3333,17.6667
732,733,4.7901,-1.1843,4.0572,3.38266,6.07733,26.25175,18.05317,15.36003,17.19745,12.61177,17,17,35,29,18,12,5,18.0,20.8667,21.0,22.6,22.0667
733,734,4.7188,-0.0207,3.3038,1.67705,4.9153,36.4203,22.7917,23.02257,21.17389,17.23569,26,24,23,21,10,10,5,11.0,28.6667,28.6667,24.2667,28.0
734,735,7.6943,-0.1109,5.0012,2.49679,6.06111,40.91127,22.61481,23.65749,22.08394,15.70492,19,27,16,15,20,12,3,23.5333,24.5333,24.0667,18.3333,24.5333
735,736,8.3875,-0.2687,5.2966,3.8632,3.95295,33.21606,21.42758,17.89981,21.73148,13.75052,22,28,22,38,13,5,4,14.8,25.9333,30.0,25.6,30.0
736,737,5.3822,0.3264,3.5065,3.24142,6.44284,36.08256,20.36648,18.6553,20.97808,14.01171,33,27,17,16,27,15,4,12.0667,23.6667,21.8,22.8667,19.4667
737,738,3.014,-0.7862,3.3399,3.75532,4.20871,32.10725,22.22304,16.90797,18.77513,15.40477,26,34,21,20,26,23,4,22.5333,22.5333,25.0667,24.0667,23.4
738,739,5.2355,-1.6585,3.1382,3.01153,5.56094,18.78773,13.69157,10.91674,13.34236,9.05929,14,18,31,22,22,11,5,14.8,20.8667,22.7333,22.2,21.0667
739,740,6.7211,-0.3702,3.89,2.29215,5.04421,37.36847,22.89801,20.55872,21.77503,14.64035,21,25,21,16,15,14,3,22.3333,23.6667,22.0,19.4667,22.6667
740,741,8.0839,-1.7255,2.1856,3.42813,4.7877,22.57395,14.75795,14.1865,13.18071,9.32697,20,15,34,23,29,21,5,11.3333,25.8,25.1333,27.1333,25.8
741,742,6.0603,2.2875,4.9314,4.54756,6.47559,41.95929,28.47403,26.85658,27.58648,18.25973,18,21,18,16,26,13,3,8.6667,28.2,29.3333,26.6667,26.0
742,743,5.3854,-0.7342,3.3742,1.89463,4.85649,39.13669,27.72624,22.32327,23.10881,17.74902,26,31,20,20,14,20,5,14.4667,27.3333,27.0,26.0,29.3333
743,744,9.0856,1.2746,6.2236,2.9396,7.0928,40.26196,28.25889,25.58985,26.39121,18.0282,15,17,17,27,25,20,2,14.8,18.0,18.0,18.3333,23.3333
744,745,5.1302,1.6274,3.5986,4.0965,5.73326,37.58418,25.76528,22.34508,24.57664,17.55782,25,32,28,20,12,16,4,10.6667,21.5333,30.0,23.0,27.8
745,746,5.7963,1.8035,2.6601,2.99263,7.23688,33.26573,18.76251,17.45959,16.46503,15.55875,14,15,31,20,23,20,4,15.4667,21.5333,22.0667,21.3333,23.4
746,747,8.5874,0.7571,5.1712,3.38951,6.35758,40.62945,24.15864,22.59369,22.74807,17.04372,25,26,20,22,13,9,5,10.3333,19.0,19.5333,19.2,23.6667
747,748,3.4472,0.835,4.1188,2.70755,3.45845,28.95245,20.5883,15.67115,13.15998,13.38325,16,22,27,30,16,5,3,14.6667,19.6667,18.8,22.6667,19.0
748,749,9.483,-0.7788,3.7597,3.13995,5.51255,28.20893,23.9147,16.80054,13.57349,14.38745,25,26,29,24,24,9,5,11.6667,21.1333,25.6667,23.6,26.0
749,750,9.5995,-0.7384,4.6289,2.76596,6.42869,30.04031,20.67299,13.3516,17.98263,13.59717,12,18,26,36,26,18,4,11.8,29.3333,25.6,25.0667,28.6667
750,751,7.2373,-1.3621,3.9008,3.60928,5.43614,31.42136,17.09672,16.75103,16.72317,11.72014,23,24,25,25,19,16,5,14.8,20.2,19.9333,20.2667,20.6
751,752,5.5356,2.5135,5.3927,4.53794,6.34319,34.57039,22.7484,21.02712,20.53377,13.87213,19,23,27,24,16,6,3,16.9333,18.6,22.3333,14.7333,18.6667
752,753,5.3837,0.1902,4.141,3.06283,4.95016,26.99446,19.58334,9.58153,14.04835,13.19473,16,26,29,16,29,18,5,7.0,24.6,24.8,23.6,25.6667
753,754,6.4137,-0.6512,2.7206,2.7439,4.74096,41.36776,27.7899,25.49989,26.4274,18.60184,16,22,24,31,25,9,5,14.1333,22.4667,27.1333,23.3333,29.6667
754,755,7.6419,-0.1669,4.6996,3.88891,4.22091,33.35922,17.28713,13.04729,12.40322,16.98319,22,20,21,25,19,11,5,13.2667,27.4,28.6667,27.6667,26.0
755,756,7.2645,0.4732,5.4011,3.85282,5.3762,33.1792,21.52028,21.57914,20.86263,15.77374,12,17,35,33,15,9,4,14.1333,20.0667,20.5333,15.2,20.9333
756,757,4.3855,1.6277,2.0265,4.07369,5.69088,28.79041,16.03899,14.92387,17.26342,11.14264,19,19,19,28,20,14,5,14.8,20.4667,23.9333,18.6667,26.6667
757,758,6.1302,-0.9359,2.9227,4.76245,5.38854,26.29143,18.70874,16.11452,17.64568,9.90029,24,24,30,16,17,18,4,22.4,26.3333,26.3333,26.3333,26.6667
758,759,4.1314,3.1218,3.457,4.78364,6.04003,28.83163,15.48559,16.48599,12.07051,13.04437,19,24,24,23,13,13,4,14.8,28.6667,28.6,18.0,28.3333
759,760,6.6723,0.3599,5.5401,2.91062,4.23405,29.25209,17.45667,15.65604,16.01956,13.02722,16,26,37,20,14,12,2,16.5333,20.2667,20.3333,16.6667,20.6667
760,761,7.3574,-0.1929,3.9112,4.74897,5.29079,32.26033,22.94168,19.30396,19.25004,16.71627,10,10,35,31,28,22,5,14.8,26.0,26.0,23.8667,27.0
761,762,7.1354,-0.1632,5.3482,2.55099,4.88053,21.83022,11.39637,11.27065,8.42753,9.97437,24,19,15,35,15,10,5,11.4,24.9333,27.6667,25.9333,24.6667
762,763,8.8521,-0.595,1.6137,2.62472,5.2439,30.59998,16.87524,16.65861,23.60786,14.49414,23,30,29,20,19,16,5,21.5333,23.9333,23.0667,18.4,27.8
763,764,0.714,0.0016,1.7047,3.19363,2.80098,18.72109,13.51965,11.57875,15.02098,8.35749,21,23,26,28,21,12,5,18.0,20.0667,21.7333,21.6,22.2
764,765,8.0737,-0.002,4.9095,3.54272,6.31507,31.98346,22.98418,18.78951,19.70731,14.73398,27,21,24,21,14,18,3,12.8,19.5333,17.8667,21.1333,28.3333
765,766,6.3544,0.3753,4.7918,2.45508,5.18549,37.28451,25.52026,23.75142,22.67551,17.76378,19,18,28,29,16,13,5,10.6667,23.3333,22.6667,20.1333,25.3333
766,767,11.336,-1.2227,6.8437,4.07947,5.92952,34.78819,24.82906,22.17364,22.1669,14.90843,16,30,32,24,21,11,5,17.6,21.0,22.7333,21.6667,21.0
767,768,7.7425,1.0865,6.596,2.1803,6.30143,38.9797,26.42506,23.26499,26.26532,16.77421,23,30,31,17,4,7,3,7.3333,21.0,19.2667,16.6,22.9333
768,769,7.2192,-0.4313,3.3277,2.81983,3.64463,34.12588,22.91919,15.65157,17.74942,15.40912,26,18,17,15,17,11,5,13.0667,22.9333,24.9333,23.2667,23.6
769,770,0.3134,-1.2522,1.4029,2.33524,2.81265,16.93376,11.2633,11.01992,10.97396,7.80644,20,25,17,13,14,18,4,18.0,19.6,19.8667,18.0,20.6
770,771,5.397,-1.3373,2.4794,2.74082,5.56535,28.38766,18.5873,18.10632,16.64467,14.3612,20,25,23,15,18,20,5,16.4,19.8,18.2,19.8,22.0667
771,772,8.8152,-0.1788,2.4173,2.24143,5.19385,34.06982,20.82395,19.62799,19.28182,14.40838,22,28,25,30,16,8,4,12.5333,26.4667,28.6667,27.3333,28.0
772,773,8.7164,-1.5238,5.6464,2.79155,5.7175,28.49876,14.56498,14.95087,13.3655,14.03952,19,20,22,20,11,11,4,18.0,25.0667,22.6667,26.4667,23.8667
773,774,7.4235,0.5024,3.3063,3.84347,5.02903,34.98855,22.49836,19.0036,20.32238,14.16477,18,18,29,28,27,14,5,25.8,23.4667,22.6667,18.6667,24.0
774,775,9.2417,1.6017,5.5699,5.71162,4.98266,19.78563,14.63922,12.41222,12.6123,8.6167,17,24,30,17,16,12,3,21.5333,20.1333,25.3333,14.7333,29.0
775,776,7.8707,0.0893,4.1462,2.41004,4.35346,36.51078,25.18042,21.68756,21.5456,15.77789,14,18,47,23,15,8,4,10.6667,18.2,17.9333,16.4667,23.4
776,777,8.8242,0.2456,6.3731,3.087,4.68174,31.43458,20.45925,18.47617,16.98669,13.13466,26,33,23,17,8,9,5,13.6667,22.4667,27.3333,25.0,25.0
777,778,5.9021,-0.9512,2.1092,2.36861,5.17908,26.03438,16.24338,14.34632,11.2622,11.47272,24,27,18,26,20,15,4,14.4667,22.6667,23.8667,21.3333,23.4
778,779,6.1953,-0.3735,6.0765,3.7056,5.25916,36.41138,24.65618,23.02155,23.41938,16.7455,15,22,30,20,26,11,4,18.0,18.3333,18.3333,18.0,18.2
779,780,10.0096,-0.437,7.5588,2.4756,5.98149,24.85421,14.04353,13.42011,13.11952,11.86882,14,17,30,27,17,9,4,14.6,21.0,20.3333,22.0,20.3333
780,781,1.2519,0.2148,1.629,5.12104,6.2168,25.91679,15.24055,13.99712,12.84644,9.7911,19,20,29,26,17,13,4,21.0667,22.4,23.0667,21.8667,22.2
