,x,d1,d2,d3,d4,d5,w1,w2,w3,w4,w5,c1,c2,c3,c4,c5,c6,p,none_s,image_s,announce_s,image_sound_s,image_announce_s
20,21,8.0338,-1.3835,2.5089,3.2199,7.49223,15.94732,10.46271,8.74369,10.65953,5.24104,29,29,18,13,24,16,5,14.0,26.6,22.0,25.9333,25.2667
21,22,3.2333,0.3183,3.0553,3.72689,6.36858,16.86697,12.96003,7.81919,9.42415,7.09625,24,35,30,19,16,11,3,10.0667,20.6,17.4667,20.4667,21.1333
22,23,7.2402,-0.5438,4.9685,3.50006,8.07715,23.62424,18.25767,12.55394,14.35029,10.45974,28,29,27,17,15,20,4,14.8,21.7333,18.7333,18.7333,21.5333
23,24,6.1992,1.8364,3.2197,3.3105,5.0639,22.23699,18.64516,14.36461,14.35057,10.99122,24,36,30,20,18,6,3,10.0,17.5333,18.7333,24.3333,25.3333
24,25,3.6809,4.6971,6.7048,4.03011,9.35327,22.61325,16.92386,12.92796,11.79772,7.82124,22,31,18,24,16,5,4,14.8,17.4667,16.6,16.5333,17.6667
25,26,7.3402,0.5217,4.8136,2.46789,5.48143,19.76761,13.97806,15.72307,15.17452,10.79192,19,21,21,36,21,12,4,17.0667,17.4667,17.9333,18.6667,17.2667
26,27,6.4186,2.5941,5.1755,4.39422,6.37855,25.40064,16.89495,16.52988,16.46094,11.70966,15,17,17,18,21,14,2,14.8,14.8,15.1333,16.6,15.7333
27,28,10.3303,3.9597,7.1445,6.6348,8.38151,24.45697,20.43883,17.64056,15.44967,12.13694,25,29,30,21,10,5,2,17.6,18.8,19.0,20.6,19.5333
28,29,1.4204,0.7808,2.591,3.96974,5.0123,23.4823,17.476,17.91716,15.60597,11.2676,19,17,27,23,21,10,4,9.0,19.0,18.4667,18.8,19.8667
29,30,6.0043,1.6302,4.2606,5.70364,5.48043,8.5206,6.81609,5.48749,5.57572,3.96384,19,30,19,13,19,27,5,14.4,13.2667,10.0667,15.7333,10.6
30,31,9.5315,0.4201,6.8229,2.11463,5.86608,42.7271,26.17389,26.36388,25.0963,19.2141,12,20,28,17,23,25,5,14.8,24.8,30.0,24.3333,24.3333
31,32,4.1359,0.1694,1.321,2.93938,4.3204,22.57982,16.88658,12.05032,11.90432,7.06939,25,33,22,13,11,12,4,18.0,20.3333,25.2667,18.5333,23.0667
32,33,3.0471,-0.8066,3.4866,2.54958,3.97575,17.50018,11.13775,10.55516,10.69377,7.59318,16,20,21,23,20,19,3,18.0,22.3333,22.0,22.0,22.3333
33,34,7.4574,5.5953,6.2773,7.03843,8.18501,18.34553,11.31914,12.16216,11.94344,8.68403,22,26,12,28,19,18,5,18.2667,22.2667,19.8,19.8,19.0667
34,35,6.6637,1.44,4.3149,4.62139,5.4197,20.4118,13.70617,14.08719,13.69368,8.44658,25,26,19,19,11,6,2,17.9333,16.4,18.3333,17.4667,16.8
35,36,1.0075,1.3439,2.5615,3.5397,4.28851,26.23617,18.92944,17.92372,21.12106,12.14729,18,22,30,28,11,11,4,19.6,20.7333,19.4667,15.6667,19.9333
36,37,6.5269,3.3075,5.1905,5.18311,7.52083,21.21966,15.33609,15.7747,13.30935,11.00945,16,17,15,22,20,22,3,16.5333,17.6,17.6,16.7333,17.9333
37,38,4.0691,2.004,3.5157,5.04579,5.59197,21.38331,17.27703,12.31763,13.07752,10.01101,21,25,9,9,14,14,3,11.7333,20.0667,20.8,16.0,22.2667
38,39,8.192,0.5198,7.1919,3.3075,6.23578,29.14021,22.70097,16.60656,17.77413,14.96669,24,29,24,16,18,10,3,15.4,19.9333,18.8,21.0,20.9333
39,40,9.4704,3.8338,5.3366,4.69835,7.58593,20.40696,17.96603,13.80316,15.43011,7.95094,10,21,30,25,17,4,3,14.8,19.4,16.5333,20.0,18.9333
40,41,3.5239,2.2172,4.0254,5.01174,6.0687,29.32109,20.67084,19.70098,18.96367,13.97045,18,15,7,11,19,17,5,16.9333,20.0,18.0,18.2,17.7333
41,42,7.5099,1.4407,5.4894,4.16985,6.49667,27.69008,20.06615,18.86466,18.07895,12.99739,30,28,33,26,13,10,5,14.0,22.0,20.6667,21.6667,21.0
42,43,3.2292,0.4336,3.2697,3.31922,4.8188,25.40064,16.89495,16.52988,16.46094,11.70966,30,22,14,17,6,3,2,18.0,18.0,18.0,18.0,18.0
43,44,7.1546,0.7547,7.1652,2.4558,5.70539,24.65012,15.74327,12.17891,9.85602,9.9925,32,32,19,20,11,16,4,14.8,19.2,26.9333,23.6,27.0
44,45,6.8679,2.8092,3.9441,5.71914,7.17479,22.1518,16.12195,15.44199,13.88144,10.23095,30,28,22,19,16,29,2,18.0,18.0,18.0,18.0,18.0
45,46,10.0353,0.1783,7.5027,2.80872,4.38101,42.3344,28.15825,27.5498,27.4349,19.5161,22,22,27,35,19,10,4,8.6667,30.0,30.0,30.0,30.0
46,47,7.3132,-1.2177,2.8801,3.07101,4.13369,18.6318,16.03072,10.73055,13.58369,8.77219,15,25,20,28,16,20,4,16.8667,18.4667,21.3333,16.6,23.8667
47,48,6.8073,3.189,5.0159,4.5454,6.58911,20.66207,16.1964,16.2487,14.94301,9.26181,21,22,18,19,17,6,4,14.8,19.6,16.4,17.4667,21.3333
48,49,8.1641,-0.2476,5.3855,4.75198,8.35233,19.96075,17.39384,9.41405,8.9921,5.05257,21,16,29,16,22,17,4,11.3333,25.6,29.0,24.3333,28.3333
49,50,10.5094,4.6287,7.4683,3.13334,8.13619,25.40064,16.89495,16.52988,16.46094,11.70966,23,15,21,17,14,10,3,18.0,18.0,18.0,18.0,18.0
50,51,9.8498,0.9771,6.0641,4.29217,6.66464,28.83588,23.2096,20.47055,15.83904,7.77971,24,32,12,24,15,13,4,11.3333,12.8,15.4667,20.0,26.6667
51,52,6.2676,1.4588,5.0184,4.25265,7.72189,29.57454,24.63229,17.14116,20.76969,14.74579,22,29,28,27,19,15,4,18.0,17.3333,23.9333,17.6667,25.6
52,53,8.8429,3.4989,6.2557,3.01948,6.44984,24.52643,16.63597,14.6993,11.43126,8.91173,27,30,13,20,15,15,4,14.8,23.1333,19.6667,21.2667,21.9333
53,54,7.9565,-1.0369,3.6566,4.95829,6.78154,21.32096,20.72562,10.01158,16.79346,8.70807,24,26,30,19,19,18,5,11.3333,28.4667,30.0,29.6667,30.0
54,55,6.817,2.1618,5.0534,6.61561,8.39597,17.09864,15.44339,12.37461,13.0462,11.658,21,29,36,17,34,16,2,16.0667,16.5333,13.2667,17.0667,16.8
55,56,7.5225,-1.6284,2.2857,4.11228,5.19156,21.74331,16.0634,11.58382,14.344,8.15033,29,32,24,24,23,9,5,16.4,24.8667,24.8,27.0,28.0
56,57,6.444,0.9916,4.8403,4.1814,5.55614,27.13236,19.02627,18.20733,15.33615,12.25076,19,22,27,24,18,14,4,13.7333,19.3333,23.0667,19.4,22.7333
57,58,5.4157,0.6176,3.3221,3.20383,5.88483,27.2255,16.20101,16.53867,15.51159,9.82634,23,21,20,26,13,2,3,10.6667,20.8667,21.2667,21.7333,20.8667
58,59,5.8129,1.3324,7.2731,2.4249,4.44175,32.87836,21.5522,16.04884,15.94628,13.94602,14,25,31,25,20,20,3,19.6,19.6,19.8667,19.7333,21.3333
59,60,5.9847,3.0088,4.7749,4.51266,6.76894,20.50639,12.81004,15.49156,13.72934,7.78182,25,26,27,16,11,15,4,17.6,17.6667,18.0,17.8,18.3333
60,61,4.3457,2.2742,3.6803,4.39123,5.46332,21.03168,15.20275,13.87191,13.53447,10.16687,13,12,28,23,22,16,3,18.0,18.0,18.0,18.0,18.0
61,62,7.327,4.0343,5.5596,6.41855,7.01375,21.09103,12.82727,12.77099,12.72772,10.05199,23,28,29,15,16,18,4,16.3333,19.0667,18.0,16.2,19.6
62,63,6.9278,1.0141,3.0687,3.20339,4.79715,25.21321,14.44438,10.28015,10.29264,9.57467,20,29,31,13,16,12,5,11.3333,21.5333,24.2667,16.8667,21.7333
63,64,3.1754,1.3641,3.3319,4.16365,5.05283,25.40064,16.89495,16.52988,16.46094,11.70966,38,35,19,19,5,5,3,18.0,19.6,18.0,19.6,19.6
64,65,8.2584,0.6915,3.6387,2.54065,6.03429,17.34118,11.51536,8.8953,11.60663,6.48769,19,22,24,22,14,14,3,21.8,24.0667,24.6667,23.3333,24.4
65,66,8.2519,3.3912,4.4693,5.77212,7.60526,31.42351,21.46836,20.8161,20.80497,15.13234,13,21,21,21,24,10,5,14.0,18.4667,16.7333,18.8667,21.5333
66,67,5.7293,1.7012,2.9434,2.96984,6.89955,25.37968,17.08695,16.48494,15.79788,10.0095,16,19,24,30,13,24,3,11.6667,19.3333,20.1333,24.7333,19.2
67,68,9.4808,-0.9903,6.9722,3.31726,4.15964,31.09686,23.40924,14.31803,17.43755,12.35016,23,30,25,25,12,11,5,9.6667,29.1333,29.3333,30.0,30.0
68,69,6.1463,0.1885,5.143,3.22493,7.87768,24.5617,20.09605,18.55896,18.76736,8.03908,25,30,24,21,19,21,5,14.8,14.1333,21.6,13.4667,15.4667
69,70,7.5198,2.6955,4.7481,5.46641,6.4429,23.17266,18.17084,13.86382,15.82796,11.15091,20,23,27,27,24,18,4,14.8,19.4667,19.0667,17.9333,15.6667
70,71,-0.7538,-1.0062,1.3537,2.474,2.62549,25.51053,17.66669,16.39158,16.45252,11.66278,26,17,10,7,9,16,5,18.0,19.0667,22.1333,20.9333,22.6667
71,72,6.3796,-1.198,1.8277,2.58158,5.29737,25.40064,16.89495,16.52988,16.46094,11.70966,20,29,27,30,16,18,2,18.0,18.0,19.7333,18.0,20.1333
72,73,5.5022,2.6519,3.3216,5.71953,6.6024,10.39359,5.48159,6.26083,5.9881,5.35697,25,26,11,6,8,6,2,18.8667,19.7333,18.5333,18.8667,19.2
73,74,6.88,2.4953,5.7307,2.25311,5.34236,27.94444,19.52344,14.26901,15.8835,10.33056,17,29,32,20,15,8,4,11.3333,22.5333,20.2,22.4667,21.7333
74,75,8.2811,0.1235,3.3951,3.17121,6.8204,19.31762,15.29812,12.29537,14.17604,10.62386,22,22,35,18,21,12,5,22.8,19.5333,25.6667,28.8,28.0667
75,76,6.6123,-1.1637,7.0989,4.18735,5.17256,27.30866,15.91072,14.11203,13.08661,10.23477,34,35,23,24,7,6,4,17.2667,20.2667,25.1333,22.2,25.3333
76,77,6.6992,2.3736,5.4669,5.8787,6.49468,21.2549,17.53389,12.77941,15.35757,9.46344,19,20,19,22,12,11,2,17.6,17.6667,17.3333,17.2,17.6667
77,78,6.395,-0.0364,5.7729,2.37847,3.67162,29.41746,21.29354,16.99236,20.01497,11.95334,25,28,17,16,16,8,3,17.4667,22.3333,23.2,23.3333,23.6667
78,79,2.5858,1.6531,3.3097,4.11682,4.88864,21.00278,13.68486,12.70374,12.87534,9.85084,20,23,20,11,11,12,2,16.1333,17.1333,21.2,17.1333,20.4667
79,80,5.8276,-0.1578,3.5163,2.81271,4.1982,35.86975,24.21507,20.28571,23.29461,16.59943,22,24,24,21,25,17,3,14.8,18.8667,19.4667,18.5333,20.8
80,81,7.7847,3.1342,7.8642,4.50459,7.44392,26.68198,19.02145,14.68801,12.44285,13.37601,36,23,19,15,6,10,3,12.3333,26.0667,27.7333,28.4667,28.0
81,82,4.5578,-0.2176,3.4125,3.09218,6.88067,22.83722,19.07654,15.65412,11.40223,8.77422,28,18,17,24,14,10,3,11.3333,12.8667,20.8667,14.6,23.8
82,83,6.0595,1.0218,3.588,2.7057,5.25766,22.47742,14.33045,13.29647,11.43667,6.83165,13,27,32,20,21,13,5,14.5333,23.9333,23.1333,24.6,23.4667
83,84,9.5927,-0.8382,6.5187,5.61452,6.40887,14.70803,6.75191,8.11806,7.79858,4.58504,22,23,31,20,28,13,5,17.4667,17.5333,19.1333,18.0667,17.8
84,85,10.9094,0.6174,6.3733,3.52874,7.62263,36.45481,25.57928,18.33811,18.28765,11.82919,32,42,18,23,9,14,5,11.3333,22.2667,28.2,23.0,28.3333
85,86,2.2061,1.4505,2.2674,2.6306,4.96653,29.46636,17.32501,16.18369,14.09532,10.81166,18,41,30,24,18,16,3,15.3333,19.8,19.8667,21.1333,20.0667
86,87,4.5774,1.2492,4.7463,4.00148,6.51386,21.32867,13.07793,14.43366,14.71361,6.77934,28,24,25,20,16,6,4,10.6667,21.1333,25.8,23.3333,23.4667
87,88,6.346,0.0698,4.7791,3.79326,3.15808,20.62193,15.5939,8.90095,12.10432,8.97993,19,18,17,25,11,14,3,10.0,25.2,24.5333,24.6667,25.4
88,89,8.8414,-0.1309,3.4668,4.88418,6.95707,26.11716,21.77662,12.55043,15.90208,12.13613,28,30,27,21,14,8,5,14.8,23.2,25.5333,18.7333,25.4667
89,90,6.7044,0.4779,6.3865,4.17853,8.63415,23.54765,15.46277,11.30595,14.94644,7.68507,33,25,12,12,14,16,5,9.0,21.6667,26.8,23.5333,25.3333
90,91,4.801,-0.6351,4.1408,3.41518,5.69616,28.63806,17.41667,15.14432,17.73137,10.77292,18,32,35,18,19,11,4,13.3333,20.6,21.8667,19.2667,20.3333
91,92,6.263,2.1882,6.1696,5.37378,5.92041,16.76969,11.44432,10.76772,11.0492,7.44115,23,33,26,17,20,11,4,18.0,18.0,18.0,18.0,18.0
92,93,5.9746,-0.019,7.1106,2.47568,3.92104,40.83815,28.62449,25.94553,27.43351,16.81929,23,25,15,17,13,12,2,12.0,15.2667,20.0,14.4,19.2
93,94,1.6865,-0.1486,3.3009,4.01149,5.0449,18.81558,13.95926,14.10331,12.90278,8.62886,19,25,33,24,16,8,3,14.8,19.3333,17.4667,16.0,16.4667
94,95,6.3391,-1.2268,3.899,2.73713,4.36468,16.0136,9.09391,14.89793,11.46989,3.9796,22,31,23,22,14,12,2,18.0,13.7333,13.7333,14.5333,15.8667
95,96,6.5692,2.0941,5.4512,3.7558,6.53726,23.58243,17.97954,13.77589,12.00722,9.40898,20,21,29,26,18,13,4,12.0,21.2,19.2667,24.3333,23.1333
96,97,3.4466,-0.412,3.2025,3.12312,5.56253,25.27071,17.9426,15.5612,17.60776,10.04973,20,21,10,12,10,14,3,11.7333,15.4,14.5333,14.4667,15.8
97,98,4.0153,-0.5919,3.086,3.39689,5.55988,28.47601,16.24769,15.40894,15.34132,11.72331,22,22,29,19,15,8,4,10.7333,24.7333,26.4,19.1333,25.6
98,99,7.1512,0.1675,5.5952,2.06736,4.4019,29.36683,13.34067,6.63112,11.13621,7.50437,23,27,13,20,7,10,5,12.0,24.7333,25.0667,25.0667,25.0667
99,100,7.8614,1.2375,4.8004,3.59903,4.82633,28.25708,19.60273,18.19546,20.62989,11.01068,18,13,12,28,21,16,4,16.5333,20.4,23.9333,19.6,22.8
100,101,10.7023,-0.882,3.6226,5.44078,7.54488,22.78179,18.236,10.86093,13.80043,7.51028,23,17,32,33,18,11,5,11.3333,27.3333,27.1333,26.6667,28.6667
101,102,7.224,-0.2453,3.9054,3.66125,4.40667,33.22677,21.66675,19.28138,17.09942,13.05409,22,32,22,27,18,13,5,11.0,18.6667,21.0,21.3333,22.4
102,103,7.8931,-0.5218,3.5636,3.48824,8.19723,25.0458,19.01863,15.30712,16.65592,9.51889,15,30,23,18,22,15,2,12.0,16.6667,14.8,14.0,14.5333
103,104,4.34,0.2966,5.8641,5.07271,5.70837,16.36952,11.89976,10.02293,11.04892,5.19252,28,27,19,24,17,8,4,14.8,19.0667,22.7333,21.0667,21.8
104,105,4.2991,0.1429,3.635,2.41363,6.26217,18.37598,18.12259,11.34777,11.67027,7.34629,16,23,18,23,10,10,5,14.8,18.4,18.0,18.0,17.3333
105,106,6.2207,0.6552,3.4319,3.71919,5.17437,22.69744,17.52997,13.79663,12.5401,9.9784,20,30,31,15,20,15,4,13.6667,20.2667,21.0667,21.1333,22.2
106,107,5.1359,-0.3879,5.9295,4.71302,7.51941,17.6576,16.58084,15.09566,11.25513,5.90382,23,31,20,19,23,19,5,16.8,16.8,20.8667,19.5333,20.8
107,108,4.8843,0.3238,2.1582,1.91318,3.53421,30.16808,19.59856,16.55368,18.85452,13.5159,19,24,33,25,25,14,3,6.0,25.6667,27.6667,24.4667,26.3333
108,109,9.5541,-1.6751,2.6152,3.69712,5.05372,24.0331,18.70771,14.32232,15.93965,9.94031,34,38,15,19,12,8,5,14.8,28.3333,25.6667,20.3333,28.3333
109,110,3.1754,1.3641,3.3319,4.16365,5.05283,25.27238,17.67621,16.12663,16.68762,11.49048,20,21,25,17,19,13,2,16.2,19.6,18.0,18.0,19.6
110,111,5.7732,2.752,5.325,4.61619,6.79228,21.56996,15.26339,13.22707,12.35639,11.62996,19,21,30,22,24,7,4,15.2,16.6667,16.0,17.8667,17.8
111,112,5.3905,2.4755,4.7722,4.08687,5.57207,28.82233,18.27359,17.84946,18.72831,13.03364,12,10,10,15,15,23,5,14.8,18.0,16.0667,17.8,21.1333
112,113,10.4039,-0.6175,6.7574,5.24696,5.95221,25.40064,16.89495,16.52988,16.46094,11.70966,19,29,33,21,19,9,5,18.0,18.0,18.0,18.0,18.0
113,114,5.4407,2.8407,7.4209,2.5469,6.67454,38.38852,25.04148,24.94464,20.99055,14.42976,30,29,17,20,12,12,5,10.6667,26.0667,26.2667,26.6,25.9333
114,115,5.5748,3.1482,5.4332,4.17094,6.68965,29.21697,20.65925,15.37905,18.45649,10.66971,26,27,24,18,14,6,3,21.5333,21.6667,19.6667,20.2667,21.6667
115,116,8.7195,-0.6211,3.8062,2.79474,5.5948,26.16523,18.04689,14.09198,17.00147,9.19421,24,36,28,9,14,10,5,16.8,17.4667,25.4667,17.2,22.6667
116,117,7.6524,-0.3533,2.2993,2.77511,5.10629,21.68935,11.48217,10.62356,10.5519,5.75074,25,22,16,4,13,11,2,13.4,21.6667,21.9333,21.6,21.8667
117,118,3.9005,-0.2807,3.9276,4.6861,7.21439,18.36261,13.35939,12.70782,13.18688,9.26519,18,29,36,26,18,12,3,16.9333,15.5333,18.2,17.5333,19.2667
118,119,11.0278,-0.5048,7.2748,6.07039,7.65046,13.84032,8.6985,8.33904,7.82855,6.36351,14,33,27,25,22,16,5,12.6667,25.6667,26.4667,26.6667,26.3333
119,120,5.3444,0.291,3.1927,3.09995,3.28797,22.13188,19.21637,17.0185,18.82044,10.95261,21,27,22,25,24,12,4,18.0,21.6667,21.6667,23.5333,24.0
120,121,5.2449,0.1214,6.9483,3.65072,7.12911,30.39658,23.02659,18.82505,20.04994,12.57803,23,20,19,21,15,15,4,16.5333,21.8667,24.0667,17.6,21.7333
121,122,8.2885,-0.8288,7.2872,3.87352,6.15916,24.26557,23.41863,15.67805,16.52783,11.708,30,29,21,12,12,9,5,14.8667,18.0,15.4667,18.0,18.0
122,123,8.1565,1.8765,8.2028,5.61446,8.12772,31.28223,21.72846,20.84784,18.19387,16.14785,15,22,22,17,9,20,4,9.0,18.2,27.6667,25.0,25.0
123,124,3.1564,0.6846,3.2792,4.07184,5.00728,24.61794,16.03631,16.77861,15.09351,10.4129,27,27,23,13,15,9,5,17.3333,17.8667,18.3333,18.6667,18.6667
124,125,4.6666,0.3824,3.267,4.80426,4.81846,25.24194,17.60358,16.72768,16.26748,10.32993,26,24,28,17,25,13,4,18.0,18.5333,17.6667,18.5333,17.6667
125,126,4.4023,-0.6105,4.3468,2.74827,5.94946,15.71948,13.69567,11.26101,9.99145,9.76398,17,10,19,36,14,12,2,18.0,17.8667,20.6,16.9333,20.6
126,127,5.0265,3.3292,5.2918,4.82894,6.71037,24.54186,16.15775,15.10052,15.89094,11.58486,18,20,33,23,15,13,3,17.3333,17.6667,18.0,17.6667,18.6667
127,128,10.6645,-0.426,5.4068,5.32905,7.72734,18.53177,19.59474,12.81774,17.4513,6.15442,22,29,25,17,22,23,4,16.2667,28.6667,27.6667,26.0,30.0
128,129,6.2956,0.075,3.9307,3.44057,4.29116,23.67729,14.79614,13.18632,13.90165,10.84332,22,25,20,16,23,12,5,17.1333,17.8667,17.3333,18.3333,18.5333
129,130,5.4994,-2.2215,3.4014,3.63563,7.88281,16.60978,15.95533,10.19695,10.87739,4.8327,20,28,29,18,26,17,5,13.4667,23.0667,25.4667,24.2,21.8
130,131,3.1754,1.3641,3.3319,4.16365,5.05283,25.20602,16.91629,16.48263,15.86323,11.68474,19,20,18,18,10,26,3,18.0,14.8,18.0,16.4,18.3333
131,132,3.6545,0.5029,2.5113,2.70291,3.36317,24.01496,13.8338,13.59206,12.2432,10.0176,14,28,29,26,18,11,4,18.0,19.6,17.4,17.0,19.6667
132,133,2.9512,2.1293,2.9875,4.44179,7.21509,22.15076,20.04764,15.82119,12.52975,10.63244,21,22,11,20,16,16,4,19.6667,19.8,28.4667,23.2,28.0
133,134,6.2686,-0.6245,3.6103,3.53794,5.04144,23.57873,19.42429,15.88936,15.81399,11.74126,24,30,27,25,22,9,5,9.3333,21.6667,27.3333,20.2667,24.8
134,135,4.8219,-0.9097,1.7904,3.42597,5.65413,19.78231,14.4311,10.73193,12.81907,8.14743,21,30,27,28,14,9,4,11.3333,16.3333,22.4667,21.8,19.2667
135,136,6.8739,2.8619,3.47,5.99464,6.72904,17.20772,11.85402,11.13382,10.8903,8.12485,14,30,23,18,28,24,4,12.1333,17.6667,18.3333,18.2,18.3333
136,137,4.9363,1.1133,2.9144,4.8271,6.05587,21.18157,15.36001,10.99575,13.4869,8.76508,19,23,19,19,22,16,5,12.0,21.7333,27.3333,26.6667,26.3333
137,138,4.4193,0.4082,2.7171,3.84382,6.07599,29.42458,17.65864,18.0923,18.12126,10.81324,25,17,27,28,15,6,5,10.6667,18.2,18.8667,16.8667,18.2667
138,139,2.6148,-1.5001,2.8992,3.81958,4.91706,15.14121,9.5945,10.89849,9.88453,6.20484,19,22,17,16,19,20,2,14.0,18.5333,14.5333,22.6,15.9333
139,140,5.5196,1.313,5.0104,3.4657,6.89313,30.41233,20.83496,15.49008,12.00006,14.08564,15,25,26,28,23,16,2,10.0,22.6667,23.5333,12.8667,26.0
140,141,5.207,1.8949,4.2649,2.65513,5.00448,31.21897,22.72357,12.3163,14.38546,13.03749,23,32,22,21,18,10,4,11.0667,26.3333,29.3333,18.7333,26.6667
141,142,3.4999,2.159,5.39,2.85565,5.81699,15.64357,7.79755,11.37735,6.16308,8.80642,18,22,11,24,12,12,3,15.4,24.3333,21.6667,22.0,22.3333
142,143,6.391,0.6673,7.1478,3.15553,6.901,31.38233,24.11452,15.62307,13.7427,9.09709,18,20,16,22,18,15,5,8.6667,30.0,28.6667,27.9333,30.0
143,144,4.7973,0.2524,3.5814,3.53577,4.14091,21.91111,11.7389,12.26591,9.48709,7.79738,22,19,15,17,9,11,3,18.0,17.8667,17.6,19.4,19.0
144,145,4.0981,-1.2699,1.8785,3.46344,4.38276,12.43161,11.7814,8.74789,7.71092,4.90223,15,19,18,30,18,19,2,18.0,18.8667,20.5333,19.7333,18.9333
145,146,11.3737,4.4221,6.8181,4.34893,8.37712,25.40064,16.89495,16.52988,16.46094,11.70966,14,15,27,22,27,12,3,16.4,18.8,20.2667,18.1333,16.4
146,147,2.8653,-0.5533,4.9915,4.0278,4.98343,30.67567,22.6515,16.62877,17.97536,13.12604,23,21,14,36,7,8,5,9.2,15.8667,20.4,15.2667,26.8
147,148,4.9759,0.4815,5.6807,2.23244,5.89367,26.98325,10.60285,13.04184,9.50553,8.14162,19,28,28,15,19,17,5,8.3333,24.1333,28.3333,24.6667,28.3333
148,149,5.9271,-1.3309,3.6332,3.86822,4.27639,25.60872,16.63043,9.70094,13.16889,8.11627,28,29,25,23,24,9,2,18.0,20.1333,18.5333,18.0,18.2667
149,150,6.8216,-0.375,6.9815,4.44146,5.13366,27.1924,20.31169,16.70374,17.39559,12.94174,20,26,16,22,17,14,5,12.4,17.9333,18.3333,18.4667,22.3333
150,151,5.9762,-0.9208,4.1595,2.6178,4.31094,24.51602,18.1294,18.21223,11.08005,14.81093,17,16,22,20,28,23,3,18.0,17.3333,16.8,16.8,17.0
151,152,7.4137,-1.4236,1.7302,3.64856,5.71749,21.37117,12.89312,7.4634,8.53993,7.31765,26,30,21,15,12,12,4,11.0,22.6667,19.1333,25.0,20.6667
152,153,7.3921,1.2145,7.1541,2.21911,6.01712,29.35239,24.77556,19.85728,24.94539,13.28547,26,29,15,19,7,11,5,13.0667,15.0,18.6667,9.6,18.3333
153,154,7.9845,-1.7348,6.2929,4.03809,5.69228,25.75185,18.67163,11.90188,20.10557,8.89652,23,28,31,18,19,15,5,14.6667,25.3333,20.6,22.8,19.8667
154,155,2.3993,1.5424,4.2925,3.95175,4.76075,25.40064,16.89495,16.52988,16.46094,11.70966,15,12,20,20,20,11,2,18.0,18.0,18.0,18.0,18.0
155,156,6.5433,-0.3772,5.0222,5.0252,6.06365,28.29197,15.84482,17.3151,18.04129,10.57799,31,29,20,17,17,11,4,20.1333,19.8,19.8,20.1333,24.0
156,157,3.1754,1.3641,3.3319,4.16365,5.05283,23.94252,15.72562,16.50111,15.63209,11.36625,31,25,22,5,10,12,5,18.0,18.8667,18.0,17.8667,17.5333
157,158,3.0287,1.5147,3.6408,2.8521,4.56956,29.73651,20.75802,18.52638,17.44281,14.85032,13,15,18,26,16,11,3,16.9333,18.0,18.3333,18.0,20.2667
158,159,3.6592,1.7799,4.692,3.45896,5.9607,25.40064,16.89495,16.52988,16.46094,11.70966,22,20,19,25,14,18,2,14.8,22.8,19.0667,23.1333,20.3333
159,160,7.0955,3.7713,5.1139,5.78679,7.41855,29.76588,18.26602,17.73618,17.70855,13.4618,10,18,38,25,18,16,3,19.7333,15.9333,20.0667,19.0,21.2667
160,161,2.5896,1.3097,5.1624,4.26675,5.81709,30.91304,20.80042,19.47707,17.12146,11.63937,24,23,21,22,10,6,3,15.4,15.8667,19.9333,16.6667,20.6667
161,162,6.92,-1.5514,4.8658,4.62034,6.104,18.03129,13.71556,11.07061,11.97607,7.84078,21,25,24,17,28,21,5,6.0,16.0,16.3333,17.0,16.0
162,163,5.4075,3.5019,5.8177,4.72258,5.8617,28.80393,19.62543,21.45044,16.4159,12.25747,25,29,26,15,12,13,3,10.6667,20.7333,20.6,21.2,20.4667
163,164,3.4309,0.8251,4.3951,5.40907,6.24984,25.40064,16.89495,16.52988,16.46094,11.70966,19,17,32,30,20,17,4,10.8,18.0,18.0,18.0,18.0
164,165,7.0806,0.9686,5.0954,3.30482,5.50556,37.21222,26.9562,24.2955,22.43406,16.25467,27,23,33,23,26,9,4,13.8667,17.6667,18.3333,18.2,17.0
165,166,4.6243,0.1365,2.4528,4.21239,5.43454,24.19912,16.82716,14.55102,14.69942,9.24385,15,17,33,21,23,18,4,11.6667,18.8667,21.6,9.3333,20.6
166,167,2.9791,0.6807,3.2518,2.72528,3.37408,19.07137,14.13493,11.21936,11.11576,7.78143,20,18,8,27,12,18,3,17.8,16.6667,20.1333,16.0,21.3333
167,168,6.8274,1.0145,4.0015,2.17798,4.58694,30.70317,22.78685,14.31862,18.19449,12.16271,34,33,13,24,0,0,4,7.6667,22.2,23.4,22.3333,26.8
168,169,9.3584,-1.0118,2.9303,6.14772,5.98705,16.24515,12.53501,10.41605,12.6036,7.46313,25,31,25,22,15,14,5,14.8,23.4667,23.7333,24.1333,24.8667
169,170,7.0958,-2.1288,1.4639,4.13699,5.24908,18.04473,17.72262,10.03796,12.31978,7.8229,24,33,30,17,21,12,5,18.0,23.0667,23.3333,22.6667,22.2
170,171,7.433,-0.4474,2.5749,2.68328,5.33344,22.79663,15.10957,10.05195,10.4202,11.53122,18,18,19,26,15,13,4,18.0,22.9333,23.2667,18.2667,22.0
171,172,8.0729,3.0846,7.4174,4.33294,8.9884,25.40064,16.89495,16.52988,16.46094,11.70966,29,27,36,20,18,7,5,18.0,18.0,18.0,18.0,18.0
172,173,3.957,-0.4884,3.3689,2.80793,5.65023,24.50145,15.96135,15.00143,14.06466,9.235,22,22,23,26,26,11,4,13.0,22.8,23.4667,26.4,25.0667
