,0,1,2,3,4
144,3.0,3.05,3.3,3.3,3.1
145,2.7,2.9,3.4,2.8,2.7
146,1.5,2.7,3.4,2.55,4.2
147,1.45,3.6,4.35,3.7,4.35
148,3.0,3.4,3.1,3.0,3.1
149,2.2,2.95,2.95,3.05,3.55
150,3.0,2.9,2.8,2.8,2.85
151,1.75,3.6,3.35,3.95,3.6
152,2.3,2.65,3.3,1.8,3.25
153,2.3,3.9,3.45,3.6,3.3
154,3.0,3.0,3.0,3.0,3.0
155,3.4,3.35,3.35,3.4,4.0
156,3.0,3.15,3.0,3.0,2.95
157,2.8,3.0,3.05,3.0,3.4
158,2.4,3.6,3.2,3.65,3.45
159,3.2,2.55,3.25,3.15,3.45
160,2.65,2.7,3.35,2.8,3.5
161,1.4,2.9,2.95,3.05,2.9
162,1.9,3.45,3.45,3.5,3.35
163,1.8,3.0,3.0,3.0,3.0
164,2.4,2.95,3.05,3.05,2.85
165,1.85,3.05,3.4,1.7,3.35
166,3.05,2.9,3.3,2.6,3.6
167,1.55,3.65,3.85,3.75,4.4
168,2.4,3.5,3.8,3.6,4.05
169,3.0,3.5,3.7,3.7,3.55
170,3.0,3.6,3.45,2.9,3.3
171,3.0,3.0,3.0,3.0,3.0
172,2.05,3.6,3.7,4.1,4.0
173,3.0,3.0,3.0,3.1,2.95
174,2.75,3.5,4.2,3.65,4.0
175,1.7,3.85,4.05,3.8,4.05
176,2.4,3.5,4.15,3.4,4.4
177,1.8,3.1,3.85,3.55,4.2
178,2.9,2.95,2.75,2.9,2.65
179,3.0,3.0,3.0,3.0,3.0
180,2.95,3.0,3.0,2.9,3.1
181,2.7,3.55,3.8,3.95,3.65
182,2.4,4.0,3.85,3.75,3.7
183,2.7,3.6,4.05,3.95,4.1
184,3.0,4.4,4.0,4.4,4.4
185,3.15,3.0,3.0,2.95,2.8
186,2.95,3.2,3.5,2.9,3.6
187,1.9,4.5,4.6,4.25,4.6
188,3.0,3.0,3.05,3.0,3.0
189,2.4,4.15,3.9,4.2,4.05
190,2.0,2.5,3.75,3.05,3.05
191,3.0,4.25,4.05,4.2,4.05
192,2.5,3.3,2.85,3.25,3.3
193,3.0,3.0,3.0,3.0,3.0
194,3.65,3.6,3.55,3.55,3.7
195,1.8,3.1,3.8,2.75,3.75
196,2.3,3.1,4.2,3.85,3.9
197,2.45,3.25,3.4,3.6,4.1
198,3.2,3.0,3.1,2.9,3.0
199,2.05,2.85,3.75,3.05,3.65
200,2.9,2.85,2.85,3.05,2.95
201,2.1,3.2,3.3,3.2,3.1
202,2.2,2.8,3.9,2.7,4.0
203,3.0,3.0,3.0,3.0,3.0
204,2.4,3.2,3.45,3.75,4.05
205,2.8,3.25,3.15,3.0,3.4
206,3.8,4.2,4.05,4.15,4.2
207,2.9,3.9,3.9,3.8,3.8
208,3.3,3.3,3.3,3.3,3.6
209,1.4,2.8,2.85,2.75,2.85
210,2.05,3.65,3.7,3.9,3.8
211,3.0,3.0,3.0,3.0,3.0
212,2.25,3.1,2.6,3.1,3.5
213,2.8,2.85,2.85,2.75,2.65
214,1.6,4.3,4.6,3.8,4.6
215,2.0,3.1,4.55,4.6,4.6
216,3.0,2.95,3.2,3.25,3.2
217,2.4,3.05,2.4,2.7,2.55
